universe,cell_id,a_split,a_position,b_split,b_position,protocol_sha256,minimum_total_moves
primary83,b1c0,test,0,test,0,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
primary83,b1c1,train,0,test,1,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
primary83,b1c11,train,4,train,0,6a0854f39e01ed9089f08d48a4c35ff518a730e68579d00e01f32e026a77ccd8,20
primary83,b1c14,test,5,train,1,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1,20
primary83,b1c15,train,5,train,2,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1,20
primary83,b1c16,test,6,train,3,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e,20
primary83,b1c17,train,6,train,4,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e,20
primary83,b1c18,test,7,train,5,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033,20
primary83,b1c19,train,7,train,6,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033,20
primary83,b1c2,test,1,test,2,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
primary83,b1c20,test,8,train,7,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664,20
primary83,b1c21,train,8,train,8,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664,20
primary83,b1c23,test,9,test,3,68145c7d3e34c571462e4b0fa15739509e3d5d08fb6c8bd0392c5014863cc427,20
primary83,b1c24,train,9,train,9,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e,20
primary83,b1c25,test,10,train,10,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e,20
primary83,b1c26,train,10,train,11,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa,20
primary83,b1c27,test,11,train,12,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa,20
primary83,b1c28,train,11,train,13,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23,20
primary83,b1c29,test,12,train,14,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23,20
primary83,b1c3,train,1,train,15,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980,20
primary83,b1c30,train,12,train,16,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a,20
primary83,b1c31,test,13,train,17,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a,20
primary83,b1c32,train,13,test,4,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
primary83,b1c33,test,14,test,5,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
primary83,b1c34,train,14,test,6,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b,20
primary83,b1c35,test,15,test,7,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b,20
primary83,b1c36,train,15,test,8,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5,20
primary83,b1c37,test,16,test,9,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5,20
primary83,b1c38,train,16,test,10,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f,20
primary83,b1c39,test,17,test,11,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f,20
primary83,b1c4,test,2,train,18,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980,20
primary83,b1c40,train,17,test,12,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13,20
primary83,b1c41,test,18,test,13,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13,20
primary83,b1c42,train,18,test,14,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582,20
primary83,b1c43,test,19,test,15,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582,20
primary83,b1c44,train,19,test,16,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0,20
primary83,b1c45,test,20,test,17,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0,20
primary83,b1c5,train,2,train,19,acadfd378f365485f6d6f67504b14e95323bc4c53972ac39b9c1359f8d04c65d,20
primary83,b1c6,test,3,test,18,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
primary83,b1c7,train,3,test,19,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
primary83,b1c9,test,4,test,20,8a9c177517eae90651346d20f129e96658b85627ad195b0601610422dde189fe,20
primary83,b2c0,train,20,train,20,16e302b1d8231ebf98c00f6ca027e64bbfc36058d918bd3f10c3bf39c812e5f7,20
primary83,b2c10,test,23,test,21,871aaa1dd6ff798c96800d8567980d7f94a668e131e438eae3e96f70921ffc4d,20
primary83,b2c11,train,24,train,21,38faa40fabfaa09d2f1d91cecc1f696ff788cb45d180663b9b62efa9c2fde448,20
primary83,b2c12,test,24,test,22,f6d882cee85ce183a98b90042f4d04d2520bebc24e1c7f727291a3166161f039,20
primary83,b2c13,train,25,train,22,dbc0f40a914c8191cd7ca146c0bfe72ebbea0097d1078bcdafd8ec1a9d3bb912,20
primary83,b2c14,test,25,test,23,63b9b928c07570d77217e07dffb0ed8e6c3cac58328c78e9b009c8313ed6558a,20
primary83,b2c17,train,26,train,23,7d07432919ace57f28e4b4975f8f3b860678c0cd0840edb6f430a946e46d1b27,20
primary83,b2c18,test,26,test,24,33da05641982491dc20ba3d289b3921f6e4ab7f8d1c4d231d03697e55dc3498b,20
primary83,b2c19,train,27,train,24,84a94467fcc00d9321f2b0e08fe138e796446e41d58517dd5c2d938faa2bfe43,20
primary83,b2c2,train,21,train,25,fe89832537dfe8d089e63b9bc8252c69d3c05dfdf15857a65dbc05509e220655,20
primary83,b2c20,test,27,test,25,a0efc0fac88a63aca80a4531c9446dc29ab8caba47f19cf1396dd036164723f2,20
primary83,b2c21,train,28,train,26,d2155beb64adbd482c2c22af92ea085e6b4bf0620e5fa7f0fdf518921713a798,20
primary83,b2c22,test,28,test,26,a3c2b7e38e6462eb17974a69ec9a5a073402fdb2a7122b27bea867c6703d0bfd,20
primary83,b2c23,train,29,train,27,46ef1a8c1328999a574228309a7c856a284cb71e90ddeabfc916aa76721ea4e8,20
primary83,b2c24,test,29,test,27,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
primary83,b2c25,train,30,test,28,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
